9;22;3;31.07.2017 7:52:47;01.08.2017 7:46:24;2503,25;3335,79;832,54;0
9;22;4;31.07.2017 7:52:47;01.08.2017 7:46:24;0;0;0;0
10;95;5;01.08.2017 7:51:38;02.08.2017 7:49:28;309,21;309,21;0;0
10;95;6;01.08.2017 7:51:38;02.08.2017 7:49:28;105,74;105,74;0;0
10;95;7;01.08.2017 7:51:38;02.08.2017 7:49:28;569,83;717,26;147,43;0
10;95;8;01.08.2017 7:51:38;02.08.2017 7:49:28;399,79;512,87;113,08;0
10;92;5;01.08.2017 7:51:38;02.08.2017 7:49:28;861,87;966,66;104,79;0
10;92;6;01.08.2017 7:51:38;02.08.2017 7:49:28;225,11;239,19;14,08;0
10;92;7;01.08.2017 7:51:38;02.08.2017 7:49:28;1788,6;2240,94;452,34;0
10;92;8;01.08.2017 7:51:38;02.08.2017 7:49:28;374,4;467,22;92,82;0
10;92;9;01.08.2017 7:51:38;02.08.2017 7:49:28;55,5;55,5;0;0
10;92;10;01.08.2017 7:51:38;02.08.2017 7:49:28;52,49;81,08;28,59;0
10;60;7;01.08.2017 7:51:38;02.08.2017 7:49:28;73,54;79,03;5,49;0
10;60;8;01.08.2017 7:51:38;02.08.2017 7:49:28;204,46;234,46;30;0
10;60;9;01.08.2017 7:51:38;02.08.2017 7:49:28;52,81;77,88;25,07;0
10;60;10;01.08.2017 7:51:38;02.08.2017 7:49:28;114,58;114,58;0;0
10;50;5;01.08.2017 7:51:38;02.08.2017 7:49:28;10;10;0;0
10;50;6;01.08.2017 7:51:38;02.08.2017 7:49:28;60,97;71,06;10,09;0
10;22;1;01.08.2017 7:51:38;02.08.2017 7:49:28;965,91;1472,47;506,56;0
10;22;2;01.08.2017 7:51:38;02.08.2017 7:49:28;334,19;334,19;0;0
10;22;3;01.08.2017 7:51:38;02.08.2017 7:49:28;3335,79;3787,85;452,06;0
10;22;4;01.08.2017 7:51:38;02.08.2017 7:49:28;0;0;0;0
11;95;5;02.08.2017 7:52:28;03.08.2017 8:05:05;309,21;317;7,79;0
11;95;6;02.08.2017 7:52:28;03.08.2017 8:05:05;105,74;105,74;0;0
11;95;7;02.08.2017 7:52:28;03.08.2017 8:05:05;717,26;795,68;78,42;0
11;95;8;02.08.2017 7:52:28;03.08.2017 8:05:05;512,87;528,93;16,06;0
11;92;5;02.08.2017 7:52:28;03.08.2017 8:05:05;966,66;986,37;19,71;0
11;92;6;02.08.2017 7:52:28;03.08.2017 8:05:05;239,19;239,19;0;0
11;92;7;02.08.2017 7:52:28;03.08.2017 8:05:05;2240,94;2568,77;327,83;0
11;92;8;02.08.2017 7:52:28;03.08.2017 8:05:05;467,22;491,3;24,08;0
11;92;9;02.08.2017 7:52:28;03.08.2017 8:05:05;55,5;55,5;0;0
11;92;10;02.08.2017 7:52:28;03.08.2017 8:05:05;81,08;95,16;14,08;0
11;60;7;02.08.2017 7:52:28;03.08.2017 8:05:05;79,03;79,03;0;0
11;60;8;02.08.2017 7:52:28;03.08.2017 8:05:05;234,46;250,86;16,4;0
11;60;9;02.08.2017 7:52:28;03.08.2017 8:05:05;77,88;133,51;55,63;0
11;60;10;02.08.2017 7:52:28;03.08.2017 8:05:05;114,58;114,58;0;0
11;50;5;02.08.2017 7:52:28;03.08.2017 8:05:05;10;18,57;8,57;0
11;50;6;02.08.2017 7:52:28;03.08.2017 8:05:05;71,06;71,06;0;0
11;22;1;02.08.2017 7:52:28;03.08.2017 8:05:05;1472,47;1827,14;354,67;0
11;22;2;02.08.2017 7:52:28;03.08.2017 8:05:05;334,19;339,19;5;0
